A aawwwwwwwwdwwdwwdwwdwwwwwwwwssssddwwwww
B wwwawwawwawwddwwawwawwawwwaawwwwwwwwww
C wwwawawwfssaaawdwwwdwdwwssaadsdagwdwwwwwwwwdwdwwwdwdwwddfwwwww
D wwwawwawwwwwwwawwawwwaawwwwwwwwww
E wwwwssssaawwwwddwwwwssssaawwwwwddwwwwssss
F aawwwwddwwwwssssaawwwwwddwwwwssss
G fwgwwwwawwawwawawwfddddwwdwdwwdwwdwwwwgdwdwwwwwwwdwwdwwwwddw
H aawwwwwwwwwsssssddwwwwwaawwwwwsssssssss
I wwwwssaawwwwwwwwwddwwssss
J wwawwawwwwwwwwddddwwwwwwwwdwwdwwdwdww
K aawwwwwwwwwwsssssdwwwwwwssssssddwwwwwwwfdddwwwwww
L wwwwwsssssaawwwwwwwwww
M aawwwwwwwwwwdddwwwwwaawwwwwdddwwwwwwwwwwddfwwwww
N aawwwwwwwwwwdddwdwawdwawdwawdwawdwawdwawaaawwwwwwwwwwwddfssss
O fwwgwwwwwawwwawwwwwawwwawwwwwawwwawwwwwawww
P aawwwwwwwwwwddwwwwdwdwwwwdwdwwww
Q fwwwgwwwwwawddwwssaawwawwwwwawwwawwwwwawwwawwwwwawww
R aawwwwwwwwwwddwwwwdwdwwwdwdwwwwaaawwwwwwwwddfwwwww
S fwwgwwwawwawwawwawdwwdwwdwwaddwwwfssss
T fwwwaagwwwwwwwwwwddwwwwssssssss
U fwwwgwwwwawwawwwwwwwwddddwwwwwwwwdwwdwwwwdwwdwwwwwwww
V awawdwawdwawdwawdwawdwaaaawawdwawdwawdwawdwawdwddwdwawdwawdwawdwawdwawfddww
W fwwwgaaawdwawdwawdwawdwawdwddddwawdwawdwawdwawdwawaaawdwawdwddwdwawdwaaawawdwawdwawdwawdwawaafwwwwwwwww
